,title,company,rating,location,salary,job_type,summary,link
35,newData Scientist,Georgia Tech,4.2,"Atlanta, GA 30332 (Georgia Tech area)+2 locations",Nan,Full-time,"Provide data summaries, trends, and patterns by using data visualization tools and reporting tools.
This job requires expertise using statistical tools, data…",https://www.indeed.com/rc/clk?jk=8eebdb099fcc9522&fccid=db25687464a9ecf6&vjs=3
36,"Data Scientist, Operations Data Science",Google,4.3,"Hybrid remote in Mountain View, CA+8 locations",95000,Full-time,"4 years of relevant work experience (e.g., as a data scientist), including experience applying advanced analytics to planning and infrastructure problems.",https://www.indeed.com/rc/clk?jk=5df4f19a4abba7a9&fccid=a5b4499d9e91a5c6&vjs=3
37,Data Scientist,Coinbase,4.4,Remote+1 location,Nan,Nan,"Prototype new analytics & machine learning models that improve both our insights and the product directly.
Perform deep analyses and build models to understand…",https://www.indeed.com/rc/clk?jk=379031397ef3c3bd&fccid=d2c6abf8a785fc40&vjs=3
38,Data Scientist,Federal Reserve Bank of Boston,4.3,Remote,Nan,Full-time,"Keep abreast of developments in big data computing tools and machine learning.
Master’s degree or above in a related field (i.e., applied mathematics,…",https://www.indeed.com/rc/clk?jk=2fba35d97ba79ccc&fccid=b262a15a8545381b&vjs=3
39,Data Scientist,Xcel Energy,3.6,"Denver, CO 80202 (Union Station area)",82700,Full-time,Champion the acquisition of new data sources to enhance value and fill gaps; automate collection processes; effectively process structured and semi-structured…,https://www.indeed.com/rc/clk?jk=be79b15b3604f88c&fccid=0b3490f8005058ec&vjs=3
40,Data Scientist,NYC Careers,Nan,"Manhattan, NY+2 locations",75504,Evening shift +1,Act as a lead project manager on an analytics project with little coaching required to draft a project timeline and adjust as necessary;,https://www.indeed.com/rc/clk?jk=25fe413097e3cdf4&fccid=f97367b3ac9546b1&vjs=3
41,data scientist -Remote,Starbucks,3.9,"Remote in Seattle, WA+2 locations",Nan,Nan,"In this role, you’ll leverage statistical analysis, time series methods, machine learning, product development, data visualization, and storytelling.",https://www.indeed.com/rc/clk?jk=8458e9c983b98f15&fccid=a88e611ddef97571&vjs=3
42,Jr. Data Scientist,Paramount,3.5,"New York, NY 10036",Nan,Full-time,"Work with data scientists, data engineers, and software engineers to deliver analysis aimed at underlying business objectives.",https://www.indeed.com/rc/clk?jk=3153e0ebc75016a9&fccid=4f8daa48ef966ab5&vjs=3
43,Data Scientist,Salesforce,4.3,Remote+25 locations,82400,Full-time,"Each team is made up of data scientists, engineers, growth analysts, and information management experts who are dedicated to driving product strategy with data…",https://www.indeed.com/rc/clk?jk=f2aac2bca4d8eec3&fccid=4027cfd917e1ee29&vjs=3
44,"newData Scientist, Platform (Senior and Staff)",Slack,3.8,"Denver, CO 80202 (Union Station area)",128600,Full-time,Evangelize evidence-based decision making by partnering with key decision makers and driving general accessibility of data and insights.,https://www.indeed.com/rc/clk?jk=b07dac53e3b80d03&fccid=8d0ce3817d129779&vjs=3
45,newData Scientist,General Motors,4.0,"Warren, MI+12 locations",Nan,Nan,"Expertise in data visualization, data storytelling, data acquisition, data manipulation.
Experience in one or more advanced analytical methodologies such as…",https://www.indeed.com/rc/clk?jk=e775bb0a1b512dc0&fccid=116680a29a847a70&vjs=3
46,Graduate Data Scientist - Role Can be Remote,Mars,3.8,"Remote in Franklin, TN+5 locations",Nan,Nan,"Build understanding of the Mars Petcare data ecosystem and analytics platforms.
Develop and gather project insights.
Code peer review and QA notebooks.",https://www.indeed.com/rc/clk?jk=576da93b54b00309&fccid=6f49e88f14c18b75&vjs=3
47,Jr Data Scientist,Ilmuone Data,Nan,Remote,Nan,Nan,Mandatory: Experienced using programming languages (at least Python and SQL) to manipulate data and draw insights from large data sets.,https://www.indeed.com/rc/clk?jk=3e47c6130f53dae0&fccid=f5c945192d6f2995&vjs=3
48,MACHINE LEARNING DATA SCIENTIST - PYTHON AND R,InspiHER Tech,Nan,Remote,110000,Full-time,"Leverage those data via machine learning, predictive analytics, and statistical modeling techniques to implement ongoing production solutions communicate…",https://www.indeed.com/rc/clk?jk=10be5b703cba933a&fccid=f4d8d9827523c093&vjs=3
49,Dashboard Data Scientist,California State University,4.3,"Long Beach, CA",52464,Nan,"The CSU Chancellor's Office offers a premium benefit package that includes outstanding vacation, health, and dental plans; a fee waiver education program;…",https://www.indeed.com/rc/clk?jk=f54f3451c8151874&fccid=938c68fc89db4b9d&vjs=3
50,Data Scientist,Federal Reserve Bank of Boston,4.3,Remote,Nan,Full-time,"Keep abreast of developments in big data computing tools and machine learning.
Master’s degree or above in a related field (i.e., applied mathematics,…",https://www.indeed.com/rc/clk?jk=2fba35d97ba79ccc&fccid=b262a15a8545381b&vjs=3
51,Data Scientist,Coinbase,4.4,Remote+1 location,Nan,Nan,"Prototype new analytics & machine learning models that improve both our insights and the product directly.
Perform deep analyses and build models to understand…",https://www.indeed.com/rc/clk?jk=379031397ef3c3bd&fccid=d2c6abf8a785fc40&vjs=3
52,Data Scientist,The Hershey Company,3.8,"Remote in Hershey, PA+1 location",Nan,Nan,1-3+ years of professional experience with applying quantitative research in optimizing human decisions using technologies like machine learning and/or deep…,https://www.indeed.com/rc/clk?jk=bf1800285b7d423b&fccid=e08898c7a89673c9&vjs=3
53,"newResearch Scientist, General Core Data Science",Facebook App,4.1,"Seattle, WA+126 locations",Nan,Nan,Answer product questions and generate insights by using appropriate machine learning and statistical techniques on available data.,https://www.indeed.com/rc/clk?jk=cd9f36cdf939e8fd&fccid=ba07516c418dda52&vjs=3
54,newData Scientist,Intel,4.1,"Hillsboro, OR 97124+8 locations",Nan,Full-time,"Bachelor's Degree in statistics, economics, computer science, mathematics/physics, machine learning, operations research, and or equivalent expertise applied to…",https://www.indeed.com/rc/clk?jk=678e80b36a188982&fccid=936367796261bd6e&vjs=3
55,Data Scientist- Supply Chain- Remote,Nordstrom Inc,3.9,+7 locationsRemote,Nan,Full-time,"Work closely with data engineering partners to leverage and improve our machine learning infrastructure.
Explore complex data sources, becoming a subject matter…",https://www.indeed.com/rc/clk?jk=82888a6b7c52ec1e&fccid=68ce5c21322a81a4&vjs=3
56,newData Scientist,Atlantic Health System,3.7,"Morristown, NJ",Nan,Full-time,Use advanced analytics and machine learning to solve business problems and find patterns and insights within structured and unstructured healthcare data.,https://www.indeed.com/rc/clk?jk=04813d07f9fce7c3&fccid=8bb305d9b8697c1d&vjs=3
57,Climate Data Scientist,ClimateAI,Nan,"Remote in San Francisco Bay Area, CA",Nan,Nan,"Lead small team of junior data scientists.
Train machine learning algorithms and apply statistical techniques to weather and climate data sets.",https://www.indeed.com/rc/clk?jk=45c94e1f7a5c02f7&fccid=90364bdd6d185b45&vjs=3
58,Jr. Data Scientist,Paramount,3.5,"New York, NY 10036",Nan,Full-time,"Work with data scientists, data engineers, and software engineers to deliver analysis aimed at underlying business objectives.",https://www.indeed.com/rc/clk?jk=3153e0ebc75016a9&fccid=4f8daa48ef966ab5&vjs=3
59,"Data Scientist, Operations Data Science",Google,4.3,"Hybrid remote in Mountain View, CA+8 locations",95000,Full-time,"4 years of relevant work experience (e.g., as a data scientist), including experience applying advanced analytics to planning and infrastructure problems.",https://www.indeed.com/rc/clk?jk=5df4f19a4abba7a9&fccid=a5b4499d9e91a5c6&vjs=3
