,title,company,location,salary,job_type,summary,link_job,company_link
37,"New College Grad Engineer, Software Engineering",Western Digital,"Remote in Irvine, CA+2 locations",,Full-time,"Hands on software development experience is a must.
An employee’s pay position within the salary range may be based on several factors including but not limited…",https://www.indeed.com/rc/clk?jk=25a7f6f4cfc2d001&fccid=b11a318411580b5b&vjs=3,https://www.indeed.com/cmp/Western-Digital
38,newAssociate Software Engineer,Aspect Software Inc,Remote,,,"Completes internal documentation and procedures for ongoing maintenance of the code and for the use of the code by other developers.
0-2 years of experience.",https://www.indeed.com/rc/clk?jk=2db72249a3044e55&fccid=f9780b98e05c0100&vjs=3,https://www.indeed.com/cmp/Aspect-Software
39,newMSOC Flight Dynamics Software Engineer @ NASA,KBR,"Houston, TX+15 locations",,Full-time,"This is a junior level position; preferred candidates will hold a Bachelor’s Degree in Aerospace Engineering, Computer Science, Math or a related area and 0-5…",https://www.indeed.com/rc/clk?jk=708a70c977f30925&fccid=42d3ea14e9922144&vjs=3,https://www.indeed.com/cmp/KBR-7
40,newSoftware Engineer - Remote,MiTek Inc.,"Remote in Greenwood Village, CO+3 locations",70000.0,Full-time,"Work in Agile software development environment using Scrum.
Code, test, document, configure, and debug web front-end and server-side middle-tier solutions.",https://www.indeed.com/rc/clk?jk=ed04e5201354a2d8&fccid=1c0c0d7d55230fa7&vjs=3,
41,Software Development Engineer,Hewlett Packard Enterprise,"Fort Collins, CO 80521+32 locations",87000.0,Internship,"Participates as a member of project team of other software systems engineers and internal and outsourced development partners to develop reliable, cost…",https://www.indeed.com/rc/clk?jk=52f1104cf89a3e04&fccid=216eb700022de6f6&vjs=3,https://www.indeed.com/cmp/Hewlett-Packard-Enterprise
42,Entry Level Software Engineer,Delta Mobile Systems,"Elgin, IL",,,"Utilize best software development and test practices.
Develop C/C++/Java/Android applications for wireless products.",https://www.indeed.com/rc/clk?jk=c0fd61e08b47c18d&fccid=84d6db319066eb61&vjs=3,
43,Software Engineer Apprentice,Red Foundry,"Chicago, IL",,,"Able to work collaboratively in small teams with other specialized software development individuals.
Bachelor’s degree in software engineering, computer science…",https://www.indeed.com/rc/clk?jk=d8680ad4c3c9943b&fccid=6d909d5f3c45f58c&vjs=3,
44,newUnity 3D Software Engineer,Bling Financial,"Irvine, CA 92612 (San Joaquin Marsh area)+1 location",55000.0,Full-time,"Collaborating with other engineers to integrate shared software and services.
Bling Financial (Blingfi.com) is a fast-growing mobile gaming and financial…",https://www.indeed.com/company/Bling-Financial/jobs/Unity-Software-Engineer-5429951168defbda?fccid=8b8bfe9b98e34824&vjs=3,
45,Software Engineer-Work from home-eviCore,Cigna,"Remote in Hartford, CT 06152+11 locations",95900.0,Full-time,"We also offer 401(k) with company match, company paid life insurance, tuition reimbursement, a minimum of 18 days of paid time off per year and dozens of…",https://www.indeed.com/rc/clk?jk=f5144503a6d3283b&fccid=afbf8c270610a38a&vjs=3,https://www.indeed.com/cmp/Cigna
46,Software Engineer 1,Garmin,"Boulder, CO+47 locations",85600.0,Rotating shift,"Develop new software in Java or Kotlin.
Debug and support the existing software framework.
Participate in bi-weekly release of software to production.",https://www.indeed.com/rc/clk?jk=05587b3adbbf381b&fccid=70a994275a3b9062&vjs=3,https://www.indeed.com/cmp/Garmin
47,Software Engineer - New Grad,Applied Intuition,"Mountain View, CA+21 locations",,Full-time,"Applied’s suite of products, focused on simulation and analytics, delivers sophisticated infrastructure built for scale.",https://www.indeed.com/rc/clk?jk=b2d4c518240ca79c&fccid=00f9ae225292fb3a&vjs=3,
48,Software Engineer,SRS Acquiom,+1 locationRemote,110000.0,Full-time,"Experience with professional software engineering practices for the full software development life cycle, including coding standards, code reviews, source…",https://www.indeed.com/company/SRS-Acquiom/jobs/Software-Engineer-68df6b4c141baaec?fccid=c5e625263df7522d&vjs=3,https://www.indeed.com/cmp/Srs-Acquiom-2
49,Jr. Software Developer,Genuent,Texas,,Full-time,"The Associate Programmer works closely with members of their team, participating in most aspects of the software development lifecycle, primarily in development…",https://www.indeed.com/rc/clk?jk=97c4f63baa2d36d2&fccid=fbececf47bbee29f&vjs=3,https://www.indeed.com/cmp/Genuent
50,Frontend Software Engineer 2,CrossFit,Remote,105000.0,Full-time,"Experience with frontend frameworks, particularly React/Redux/Typescript, or similar.
Working closely with the design and product team to iterate on UI/UX.",https://www.indeed.com/rc/clk?jk=7e0c21990bfcda87&fccid=fdc9c901e79ff4b7&vjs=3,https://www.indeed.com/cmp/Crossfit
51,WordPress Engineer (Remote/Worldwide),XWP,+1 locationRemote,63360.0,Full-time,"Deliver, with the help of your colleagues, quality code, on time, and as estimated.
Architectural peer reviews for code created by other engineers.",https://www.indeed.com/rc/clk?jk=546770bfbe60c88c&fccid=3b418bcb75100be3&vjs=3,
52,newJunior Software Engineer,Impel,"New York, NY 10001 (Chelsea area)",,Full-time +1,"Work closely with a talented team of web and mobile software engineers.
At least one prior full-time position or internship as a software engineer or programmer…",https://www.indeed.com/rc/clk?jk=f785e8c4b89797fc&fccid=e219ab9c1a97f910&vjs=3,https://www.indeed.com/cmp/Impel-cc4d4aef
