,title,searched_title,company,location,salary,job_type,summary,link_job,indeed_company_link
29,Junior Software Engineer,software engineer,Xometry Inc,+7 locationsRemote,,Full-time +1,"0-3 years of experience in a fast-paced technical, problem-solving environment as a software developer or software engineering intern.",https://www.indeed.com/rc/clk?jk=e40d2e8113063ace&fccid=ff53a59bcc9cb7fd&vjs=3,
30,"Full Stack Tooling Engineer, Autonomy Software",software engineer,Tesla,"Palo Alto, CA+5 locations",,Full-time,"Work with controls, planning, and machine learning engineers to build tooling tailored to their workflows.
BS in Computer Science, Physics, Computer Engineering…",https://www.indeed.com/rc/clk?jk=678098dc16fc669d&fccid=86e9be6ce380173e&vjs=3,https://www.indeed.com/cmp/Tesla
31,Software Engineer - New Grad,software engineer,Applied Intuition,"Mountain View, CA+21 locations",,Full-time,"Applied’s suite of products, focused on simulation and analytics, delivers sophisticated infrastructure built for scale.",https://www.indeed.com/rc/clk?jk=b2d4c518240ca79c&fccid=00f9ae225292fb3a&vjs=3,
32,newBackend Software Engineer,software engineer,Bling Financial,"Irvine, CA 92612 (San Joaquin Marsh area)+1 location",70000.0,Full-time,"Collaborating with other engineers to integrate shared software and services.
Designing technical server-side systems based on product requirements.",https://www.indeed.com/company/Bling-Financial/jobs/Backend-Software-Engineer-ea8ebe473e610158?fccid=8b8bfe9b98e34824&vjs=3,
33,Software Engineer I (Junior/Entry-level Backend Engineer),software engineer,Boxed,"New York, NY",,Full-time,"Our team enjoys competitive compensation plus stock options, flexible parental leave, unlimited paid time off, regular company-wide events, and lots of other…",https://www.indeed.com/company/Boxed/jobs/Software-Engineer-731fecce3e74f388?fccid=31e99608a9d5a87f&vjs=3,https://www.indeed.com/cmp/Boxed
34,Software Engineer Apprentice,software engineer,Red Foundry,"Chicago, IL",,,"Able to work collaboratively in small teams with other specialized software development individuals.
Bachelor’s degree in software engineering, computer science…",https://www.indeed.com/rc/clk?jk=d8680ad4c3c9943b&fccid=6d909d5f3c45f58c&vjs=3,
35,newSoftware Engineer,software engineer,Health Advocate,+1 locationRemote,60000.0,Full-time,"Designs and develops software systems or applications for software enhancement and new products.
Participate in business meetings to identify objectives and…",https://www.indeed.com/company/Health-Advocate/jobs/Software-Engineer-05b457dc397b173b?fccid=5a9463d313b7f4de&vjs=3,https://www.indeed.com/cmp/Health-Advocate
36,"Software Engineer, Frontend - Multiple Teams (Multiple Level...",software engineer,Clear Street,"New York, NY+2 locations",,,Our tech-infused suite of customer experience-oriented prime service offerings will increase our clients' efficiency and provide real-time insights they've…,https://www.indeed.com/rc/clk?jk=c7de36136acf725a&fccid=ebcc4d153e3a8a01&vjs=3,
37,newSoftware Engineer - Remote,software engineer,MiTek Inc.,"Remote in Greenwood Village, CO+3 locations",70000.0,Full-time,"Work in Agile software development environment using Scrum.
Code, test, document, configure, and debug web front-end and server-side middle-tier solutions.",https://www.indeed.com/rc/clk?jk=ed04e5201354a2d8&fccid=1c0c0d7d55230fa7&vjs=3,
38,newIT Developer + Apprentice (ServiceNow),software engineer,New Apprenticeship,"Chicago, IL+6 locations",35000.0,Full-time,"Participate in designing and detailing processes related to the software development life cycle.
In this role, you will utilize the ServiceNow platform to…",https://www.indeed.com/company/New-Apprenticeship/jobs/IT-Developer-Apprentice-908559b2b30913a3?fccid=d690218d13945475&vjs=3,https://www.indeed.com/cmp/New-Apprenticeship
39,Entry Level Software Engineer,software engineer,Delta Mobile Systems,"Elgin, IL",,,"Utilize best software development and test practices.
Develop C/C++/Java/Android applications for wireless products.",https://www.indeed.com/rc/clk?jk=c0fd61e08b47c18d&fccid=84d6db319066eb61&vjs=3,
40,newDelivery Engineer- Gulf Breeze FL,software engineer,opentext,+1 locationRemote,,,"A passion for helping and building rapport with customers and colleagues.
Develop expertise of Microsoft products and setup procedures.",https://www.indeed.com/rc/clk?jk=3bc4bf4e02e20e43&fccid=c908408e676247d6&vjs=3,https://www.indeed.com/cmp/Opentext
